Released,Model
2022-09-23,Apple Watch Ultra
2022-10-07,iPhone 14 Plus
2022-10-26,Magic Keyboard Folio
2022-10-26,iPad (10th generation)
2022-10-26,iPad Pro 11-inch (4th generation)
2022-10-26,iPad Pro 12.9-inch (6th generation)
2022-11-04,Apple TV 4K (3rd generation)
2022-11-04,Siri Remote (3rd generation)
2023-01-24,Mac Mini (2023)
2023-01-24,MacBook Pro (14-inch, 2023)
2023-01-24,MacBook Pro (16-inch, 2023)
2023-02-03,HomePod (2nd generation)
2023-06-13,Mac Studio (2023)
2023-06-13,Mac Pro (2023)
2023-06-13,MacBook Air (15-inch, M2, 2023)
2023-09-22,Apple Watch Series 9
2023-09-22,Apple Watch Ultra 2
2023-09-22,iPhone 15
2023-09-22,iPhone 15 Plus
2023-09-22,iPhone 15 Pro
2023-09-22,iPhone 15 Pro Max
2023-09-22,AirPods Pro (2nd generation, USB-C case)
2023-09-22,EarPods (USB-C)
2023-11-01,Apple Pencil (USB-C)
2023-11-07,iMac (24-inch, M3, 2023)
2023-11-07,MacBook Pro (14-inch, M3, Nov 2023)
2023-11-07,MacBook Pro (14-inch, M3 Pro/M3 Max, Nov 2023)
2023-11-07,MacBook Pro (16-inch, Nov 2023)
2024-02-02,Apple Vision Pro
2024-03-08,MacBook Air (13-inch, M3, 2024)
2024-03-08,MacBook Air (15-inch, M3, 2024)
2024-05-15,Magic Keyboard for iPad Pro
2024-05-15,Apple Pencil Pro
2024-05-15,iPad Air 11-inch (M2)
2024-05-15,iPad Air 13-inch (M2)
2024-05-15,iPad Pro 11-inch (M4)
2024-05-15,iPad Pro 13-inch (M4)
2024-07-15,HomePod Mini (midnight)
2024-09-09,MagSafe Charger (25 W)
2024-09-20,AirPods 4
2024-09-20,AirPods Max (first generation, USB-C)
2024-09-20,Apple Watch Series 10
2024-09-20,Apple Watch Ultra 2 (black)
2024-09-20,iPhone 16
2024-09-20,iPhone 16 Plus
2024-09-20,iPhone 16 Pro
2024-09-20,iPhone 16 Pro Max
2024-10-23,iPad Mini (A17 Pro)
2024-10-28,Magic Mouse 2 (USB-C)
2024-10-28,Magic Trackpad 2 (USB-C)
2024-10-28,Magic Keyboard (second generation, USB-C)
2024-10-28,Magic Keyboard with Touch ID (USB-C)
2024-10-28,Magic Keyboard with Touch ID and Numeric Keypad (USB-C)
2024-11-08,iMac (24-inch, 2024)
2024-11-08,Mac Mini (2024)
2024-11-08,MacBook Pro (14-inch, M4, 2024)
2024-11-08,MacBook Pro (14-inch, M4 Pro/M4 Max, 2024)
2024-11-08,MacBook Pro (16-inch, 2024)
2025-02-28,iPhone 16e
2025-03-12,Magic Keyboard for iPad Air
2025-03-12,iPad (A16)
2025-03-12,iPad Air 11-inch (M3)
2025-03-12,iPad Air 13-inch (M3)
2025-03-12,MacBook Air (13-inch, M4, 2025)
2025-03-12,MacBook Air (15-inch, M4, 2025)
2025-03-12,Mac Studio (2025)
2025-09-09,MagSafe Battery
2025-09-09,MagSafe Charger (25 W Qi2)
2025-09-19,AirPods Pro 3
2025-09-19,Apple Watch SE 3
2025-09-19,Apple Watch Series 11
2025-09-19,Apple Watch Ultra 3
2025-09-19,iPhone 17
2025-09-19,iPhone Air
2025-09-19,iPhone 17 Pro
2025-09-19,iPhone 17 Pro Max
2025-10-22,iPad Pro 11-inch (M5)
2025-10-22,iPad Pro 13-inch (M5)
2025-10-22,MacBook Pro (14-inch, M5)
2025-10-22,Apple Vision Pro (M5)
2026-01-26,AirTag (2nd generation)
2026-03-11,iPad Air 11-inch (M4)
2026-03-11,iPad Air 13-inch (M4)
2026-03-11,iPhone 17e
2026-03-11,MacBook Air (13-inch, M5)
2026-03-11,MacBook Air (15-inch, M5)
2026-03-11,MacBook Pro (14-inch, M5 Pro/M5 Max)
2026-03-11,MacBook Pro (16-inch, M5 Pro/M5 Max)
2026-03-11,Apple Studio Display (2026)
2026-03-11,Apple Studio Display XDR
2026-03-11,MacBook Neo
2026-04-01,AirPods Max 2
